               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 123,            0.037317,            0.090039,                   0,             0.98072,             0.96034,             0.99053,             0.73534,            0.030557,            0.058585,                   0,            0.001948,            0.001948,            0.001948
                 124,            0.037912,            0.091309,                   0,             0.98058,             0.96196,             0.99062,             0.73541,             0.03057,             0.05849,                   0,            0.001882,            0.001882,            0.001882
                 125,            0.037756,            0.092859,                   0,             0.98189,             0.96334,             0.99055,             0.73631,             0.03044,            0.058211,                   0,            0.001816,            0.001816,            0.001816
                 126,            0.038291,            0.096423,                   0,              0.9815,             0.96444,             0.99061,             0.73417,            0.030576,            0.058353,                   0,             0.00175,             0.00175,             0.00175
                 127,            0.039691,            0.093703,                   0,             0.98247,             0.96086,             0.99048,             0.73844,            0.030447,             0.05827,                   0,            0.001684,            0.001684,            0.001684
                 128,            0.038309,            0.094517,                   0,             0.98153,             0.96251,             0.99063,             0.74075,            0.030339,            0.057959,                   0,            0.001618,            0.001618,            0.001618
                 129,            0.037259,            0.084796,                   0,             0.98187,             0.95741,             0.99051,             0.73991,            0.030345,            0.058031,                   0,            0.001552,            0.001552,            0.001552
                 130,            0.037877,            0.091832,                   0,             0.98243,             0.96305,             0.99083,             0.73885,            0.030346,            0.058048,                   0,            0.001486,            0.001486,            0.001486
                 131,             0.03845,            0.091308,                   0,             0.97996,             0.96389,             0.99092,             0.73919,            0.030337,            0.058033,                   0,             0.00142,             0.00142,             0.00142
                 132,            0.038307,             0.09152,                   0,               0.981,             0.96265,             0.99074,              0.7385,            0.030346,            0.058004,                   0,            0.001354,            0.001354,            0.001354
                 133,            0.038704,            0.092097,                   0,             0.98058,             0.96155,             0.99083,             0.73909,             0.03034,            0.057921,                   0,            0.001288,            0.001288,            0.001288
                 134,            0.036963,            0.088253,                   0,             0.98054,             0.96086,             0.99063,             0.73929,            0.030278,            0.057933,                   0,            0.001222,            0.001222,            0.001222
                 135,            0.036317,            0.088459,                   0,             0.98153,             0.96251,             0.99101,              0.7394,             0.03022,            0.057735,                   0,            0.001156,            0.001156,            0.001156
                 136,             0.03811,            0.092764,                   0,              0.9808,             0.96457,             0.99098,             0.74012,            0.030168,            0.057804,                   0,             0.00109,             0.00109,             0.00109
                 137,            0.036776,            0.085644,                   0,             0.98064,             0.96337,             0.99101,             0.74122,            0.030157,            0.057693,                   0,            0.001024,            0.001024,            0.001024
