               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 119,            0.038588,            0.092808,                   0,             0.97929,             0.96072,             0.99033,             0.72775,            0.030797,             0.05849,                   0,            0.002212,            0.002212,            0.002212
                 120,            0.038325,            0.092339,                   0,             0.97895,             0.96158,             0.99038,             0.73205,            0.030675,            0.058409,                   0,            0.002146,            0.002146,            0.002146
                 121,            0.038779,             0.10029,                   0,             0.97953,             0.96251,             0.99061,             0.73176,            0.030684,            0.058493,                   0,             0.00208,             0.00208,             0.00208
                 122,            0.038564,             0.09377,                   0,              0.9789,             0.96045,             0.99048,             0.73336,            0.030698,            0.058568,                   0,            0.002014,            0.002014,            0.002014
                 123,             0.03746,            0.090439,                   0,              0.9788,             0.96089,             0.99029,             0.73161,            0.030659,            0.058627,                   0,            0.001948,            0.001948,            0.001948
                 124,            0.038239,            0.092272,                   0,             0.98072,             0.96034,             0.99054,              0.7322,            0.030682,            0.058548,                   0,            0.001882,            0.001882,            0.001882
                 125,            0.038013,            0.092963,                   0,             0.98091,             0.96322,             0.99073,             0.73435,            0.030502,            0.058303,                   0,            0.001816,            0.001816,            0.001816
                 126,            0.038751,            0.097734,                   0,              0.9804,             0.96529,             0.99109,             0.73248,            0.030578,            0.058354,                   0,             0.00175,             0.00175,             0.00175
                 127,            0.039738,            0.093661,                   0,             0.98052,             0.96447,             0.99113,              0.7357,            0.030469,            0.058178,                   0,            0.001684,            0.001684,            0.001684
                 128,            0.038362,            0.094756,                   0,             0.97901,             0.96417,             0.99089,              0.7373,            0.030405,            0.057946,                   0,            0.001618,            0.001618,            0.001618
                 129,              0.0374,            0.084976,                   0,             0.97983,             0.95879,             0.99086,             0.73532,            0.030446,            0.058086,                   0,            0.001552,            0.001552,            0.001552
                 130,            0.038118,             0.09267,                   0,             0.97937,             0.96182,             0.99095,             0.73749,            0.030349,            0.057793,                   0,            0.001486,            0.001486,            0.001486
                 131,            0.038267,            0.090779,                   0,             0.97705,             0.96225,             0.99072,             0.73898,            0.030339,            0.057727,                   0,             0.00142,             0.00142,             0.00142
                 132,            0.038706,            0.092603,                   0,             0.97812,              0.9621,             0.99071,             0.73798,            0.030333,            0.057733,                   0,            0.001354,            0.001354,            0.001354
                 133,             0.03892,            0.092326,                   0,             0.97992,             0.96307,             0.99115,             0.73876,            0.030297,            0.057671,                   0,            0.001288,            0.001288,            0.001288
                 134,            0.036797,            0.087924,                   0,             0.97924,             0.96197,             0.99079,             0.73976,            0.030217,            0.057605,                   0,            0.001222,            0.001222,            0.001222
                 135,            0.036451,            0.088581,                   0,             0.97954,             0.96335,             0.99096,             0.74017,            0.030177,            0.057396,                   0,            0.001156,            0.001156,            0.001156
                 136,            0.038202,            0.092786,                   0,             0.98012,             0.96555,             0.99116,             0.73968,            0.030185,            0.057527,                   0,             0.00109,             0.00109,             0.00109
                 137,            0.037078,            0.086392,                   0,             0.98025,             0.96446,             0.99111,             0.73991,            0.030157,            0.057436,                   0,            0.001024,            0.001024,            0.001024
                 138,            0.037907,            0.090787,                   0,             0.98022,             0.96323,             0.99115,             0.74164,            0.030115,            0.057335,                   0,            0.000958,            0.000958,            0.000958
                 139,            0.038001,            0.091297,                   0,             0.98085,             0.96031,             0.99125,             0.74066,            0.030125,            0.057349,                   0,            0.000892,            0.000892,            0.000892
                 140,            0.036506,            0.088145,                   0,             0.97983,             0.96431,             0.99132,             0.74184,            0.030084,            0.057264,                   0,            0.000826,            0.000826,            0.000826
                 141,            0.037857,            0.092313,                   0,             0.98022,              0.9661,             0.99126,              0.7421,            0.030052,            0.057161,                   0,             0.00076,             0.00076,             0.00076
                 142,            0.039117,            0.097844,                   0,              0.9807,             0.96665,             0.99159,             0.74121,            0.030044,            0.057053,                   0,            0.000694,            0.000694,            0.000694
                 143,            0.038573,             0.09203,                   0,             0.98084,             0.96653,             0.99162,             0.74403,            0.029965,            0.056959,                   0,            0.000628,            0.000628,            0.000628
                 144,            0.037032,             0.08907,                   0,             0.98178,             0.96541,             0.99172,             0.74216,            0.029995,             0.05702,                   0,            0.000562,            0.000562,            0.000562
                 145,            0.037614,            0.087873,                   0,             0.98122,             0.96514,             0.99159,             0.74275,            0.029978,            0.056926,                   0,            0.000496,            0.000496,            0.000496
                 146,            0.036386,            0.083518,                   0,             0.98042,             0.96617,             0.99151,             0.74358,            0.029957,            0.056922,                   0,             0.00043,             0.00043,             0.00043
                 147,            0.037624,            0.091534,                   0,             0.98096,             0.96569,             0.99157,              0.7441,            0.029927,            0.056866,                   0,            0.000364,            0.000364,            0.000364
                 148,            0.038188,            0.089193,                   0,             0.98108,             0.96651,              0.9916,             0.74413,            0.029928,            0.056881,                   0,            0.000298,            0.000298,            0.000298
                 149,             0.03794,            0.091876,                   0,             0.98121,             0.96568,             0.99159,             0.74497,            0.029905,             0.05685,                   0,            0.000232,            0.000232,            0.000232
